Week,One Piece: (Worldwide),Dragon Ball: (Worldwide),Naruto: (Worldwide),Demon Slayer: Kimetsu no Yaiba: (Worldwide),Attack on Titan: (Worldwide)
5/7/2017,59,50,69,0,46
5/14/2017,51,49,65,0,40
5/21/2017,58,47,65,0,34
5/28/2017,54,50,68,0,34
6/4/2017,54,49,66,0,40
6/11/2017,54,51,69,0,40
6/18/2017,51,50,66,0,41
6/25/2017,58,54,70,0,28
7/2/2017,60,54,70,0,27
7/9/2017,53,54,65,0,20
7/16/2017,59,54,61,0,17
7/23/2017,54,54,59,0,16
7/30/2017,68,56,60,0,17
8/6/2017,58,57,59,0,17
8/13/2017,58,59,61,0,14
8/20/2017,53,56,58,0,12
8/27/2017,54,53,61,0,12
9/3/2017,50,52,57,0,14
9/10/2017,50,58,58,0,11
9/17/2017,57,57,56,0,10
9/24/2017,54,57,55,0,9
10/1/2017,54,58,55,0,11
10/8/2017,49,84,53,0,10
10/15/2017,55,70,52,0,9
10/22/2017,54,63,50,0,9
10/29/2017,48,63,48,0,10
11/5/2017,49,60,46,0,12
11/12/2017,42,62,47,0,9
11/19/2017,46,63,45,0,9
11/26/2017,48,59,45,0,9
12/3/2017,46,59,47,0,13
12/10/2017,47,59,46,0,12
12/17/2017,52,62,51,0,11
12/24/2017,52,69,51,0,12
12/31/2017,50,64,48,0,13
1/7/2018,52,66,44,0,12
1/14/2018,43,71,43,0,11
1/21/2018,50,67,42,0,10
1/28/2018,48,67,42,0,10
2/4/2018,46,66,41,0,14
2/11/2018,54,66,43,0,11
2/18/2018,44,69,40,0,10
2/25/2018,56,67,40,0,10
3/4/2018,50,70,40,0,14
3/11/2018,49,65,41,0,12
3/18/2018,49,76,41,0,12
3/25/2018,51,76,43,0,13
4/1/2018,45,50,41,0,15
4/8/2018,48,42,39,0,14
4/15/2018,48,40,38,0,11
4/22/2018,56,40,38,0,10
4/29/2018,61,40,40,0,14
5/6/2018,62,35,38,0,12
5/13/2018,57,35,39,0,9
5/20/2018,65,38,39,0,9
5/27/2018,57,38,41,0,9
6/3/2018,62,37,42,0,13
6/10/2018,62,34,42,0,10
6/17/2018,54,32,44,0,8
6/24/2018,58,32,44,0,8
7/1/2018,51,39,44,0,14
7/8/2018,49,38,45,0,15
7/15/2018,53,40,45,0,14
7/22/2018,49,37,45,0,29
7/29/2018,51,36,46,0,25
8/5/2018,46,35,44,0,26
8/12/2018,52,33,43,0,22
8/19/2018,50,34,43,0,20
8/26/2018,50,33,41,0,19
9/2/2018,46,32,40,0,20
9/9/2018,48,31,40,0,20
9/16/2018,43,31,39,0,20
9/23/2018,46,32,37,0,21
9/30/2018,43,32,36,0,20
10/7/2018,42,30,37,0,18
10/14/2018,50,32,37,0,20
10/21/2018,49,31,35,0,14
10/28/2018,47,31,36,0,12
11/4/2018,47,32,35,0,12
11/11/2018,42,33,34,0,10
11/18/2018,53,33,34,0,10
11/25/2018,49,32,34,0,8
12/2/2018,51,33,34,0,11
12/9/2018,38,36,35,0,9
12/16/2018,44,40,35,0,8
12/23/2018,46,43,38,0,9
12/30/2018,52,40,37,0,10
1/6/2019,46,41,35,0,9
1/13/2019,49,44,35,0,7
1/20/2019,43,40,33,0,6
1/27/2019,38,44,31,0,5
2/3/2019,33,40,29,0,8
2/10/2019,33,38,30,0,6
2/17/2019,33,41,29,0,5
2/24/2019,29,36,31,0,5
3/3/2019,32,35,30,0,9
3/10/2019,34,31,28,0,6
3/17/2019,31,33,29,0,5
3/24/2019,32,30,30,0,6
3/31/2019,38,29,31,2,10
4/7/2019,44,28,32,4,11
4/14/2019,45,29,32,4,10
4/21/2019,41,28,32,4,11
4/28/2019,39,26,31,4,22
5/5/2019,39,25,29,5,23
5/12/2019,35,25,31,5,20
5/19/2019,41,25,31,5,22
5/26/2019,44,26,32,6,30
6/2/2019,45,27,31,5,33
6/9/2019,38,28,32,6,29
6/16/2019,44,27,32,6,28
6/23/2019,43,27,33,8,27
6/30/2019,45,26,33,8,31
7/7/2019,40,27,32,9,22
7/14/2019,44,27,35,9,16
7/21/2019,44,27,35,9,13
7/28/2019,45,27,34,10,13
8/4/2019,47,27,34,13,19
8/11/2019,58,27,34,22,13
8/18/2019,46,26,32,20,11
8/25/2019,45,25,32,24,10
9/1/2019,42,25,31,29,12
9/8/2019,42,25,31,27,12
9/15/2019,47,25,35,28,12
9/22/2019,54,24,34,33,8
9/29/2019,52,24,34,43,11
10/6/2019,41,23,37,34,12
10/13/2019,45,23,35,30,8
10/20/2019,41,24,36,31,8
10/27/2019,35,24,36,30,8
11/3/2019,34,22,36,29,14
11/10/2019,37,23,36,28,8
11/17/2019,35,25,36,27,7
11/24/2019,34,22,35,29,7
12/1/2019,32,24,36,29,11
12/8/2019,36,24,37,30,10
12/15/2019,42,25,37,31,8
12/22/2019,47,28,40,34,9
12/29/2019,44,26,37,36,10
1/5/2020,40,25,36,35,12
1/12/2020,45,27,36,33,8
1/19/2020,41,31,36,32,8
1/26/2020,41,29,36,33,8
2/2/2020,38,27,35,35,10
2/9/2020,39,28,36,40,9
2/16/2020,39,29,38,42,9
2/23/2020,36,27,37,41,8
3/1/2020,42,26,36,40,10
3/8/2020,45,25,36,38,9
3/15/2020,49,28,42,37,9
3/22/2020,42,29,46,40,9
3/29/2020,50,26,47,45,10
4/5/2020,53,27,50,44,15
4/12/2020,47,26,49,40,13
4/19/2020,50,27,50,40,12
4/26/2020,47,26,52,40,12
5/3/2020,48,25,52,42,13
5/10/2020,39,25,52,46,11
5/17/2020,42,27,53,44,11
5/24/2020,38,26,53,32,16
5/31/2020,42,25,53,28,21
6/7/2020,42,26,53,25,19
6/14/2020,43,26,51,24,15
6/21/2020,39,25,53,26,14
6/28/2020,45,25,55,25,15
7/5/2020,40,25,54,24,18
7/12/2020,48,25,55,23,15
7/19/2020,46,27,59,23,16
7/26/2020,50,25,60,23,15
8/2/2020,51,24,59,27,17
8/9/2020,45,23,57,24,14
8/16/2020,47,25,56,22,13
8/23/2020,41,23,56,24,12
8/30/2020,44,22,55,19,16
9/6/2020,44,23,57,22,21
9/13/2020,40,24,59,20,14
9/20/2020,46,23,62,20,16
9/27/2020,38,22,59,22,14
10/4/2020,35,22,61,30,20
10/11/2020,43,23,63,56,16
10/18/2020,44,24,76,73,14
10/25/2020,38,22,73,75,13
11/1/2020,33,20,65,65,16
11/8/2020,38,21,69,57,17
11/15/2020,39,25,70,56,18
11/22/2020,38,23,69,49,21
11/29/2020,36,23,69,52,33
12/6/2020,40,23,69,52,70
12/13/2020,42,23,70,48,50
12/20/2020,47,25,72,52,50
12/27/2020,52,25,75,51,55
1/3/2021,49,22,73,39,57
1/10/2021,53,22,72,33,56
1/17/2021,43,23,68,31,66
1/24/2021,47,22,65,35,69
1/31/2021,49,22,67,39,78
2/7/2021,47,22,67,32,73
2/14/2021,40,23,70,42,59
2/21/2021,44,22,70,33,52
2/28/2021,43,22,66,30,64
3/7/2021,49,22,66,28,67
3/14/2021,43,21,64,28,65
3/21/2021,48,21,64,26,59
3/28/2021,48,22,65,29,69
4/4/2021,52,22,66,29,100
4/11/2021,46,21,65,27,52
4/18/2021,48,21,66,30,38
4/25/2021,47,21,66,40,33
5/2/2021,52,22,69,40,31
5/9/2021,48,23,67,35,30
5/16/2021,45,23,65,37,30
5/23/2021,49,21,67,37,25
5/30/2021,53,22,65,34,26
6/6/2021,52,21,63,30,30
6/13/2021,46,22,62,33,24
6/20/2021,50,23,66,30,23
6/27/2021,53,21,65,30,22
7/4/2021,47,22,65,28,21
7/11/2021,55,23,65,30,20
7/18/2021,52,27,65,28,20
7/25/2021,53,25,65,26,19
8/1/2021,53,22,65,25,18
8/8/2021,51,22,70,26,18
8/15/2021,53,24,68,24,18
8/22/2021,53,22,66,24,18
8/29/2021,60,23,61,24,16
9/5/2021,58,21,60,30,15
9/12/2021,48,21,60,33,14
9/19/2021,52,22,62,53,14
9/26/2021,46,19,55,43,12
10/3/2021,49,20,60,33,12
10/10/2021,46,19,61,50,14
10/17/2021,49,21,58,35,13
10/24/2021,46,19,58,30,13
10/31/2021,45,20,58,30,14
11/7/2021,46,20,57,25,14
11/14/2021,51,22,68,25,14
11/21/2021,53,21,61,25,14
11/28/2021,49,21,56,29,14
12/5/2021,45,22,58,56,14
12/12/2021,49,22,58,45,14
12/19/2021,51,23,56,45,16
12/26/2021,50,22,57,45,16
1/2/2022,50,22,52,45,23
1/9/2022,52,22,51,59,56
1/16/2022,43,22,51,58,37
1/23/2022,46,21,49,54,40
1/30/2022,45,21,50,60,39
2/6/2022,44,21,47,71,40
2/13/2022,39,21,47,95,37
2/20/2022,44,22,46,58,32
2/27/2022,44,21,47,40,30
3/6/2022,58,22,45,35,27
3/13/2022,54,22,46,35,25
3/20/2022,89,23,46,32,27
3/27/2022,80,21,44,28,26
4/3/2022,69,22,45,28,31
4/10/2022,62,25,47,29,21
4/17/2022,63,25,46,29,18
4/24/2022,64,22,45,24,15
5/1/2022,0,0,0,0,0
